"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","543","shouldReturnOwnProfile()","","Mon Jul 07 22:45:32 CEST 2025","broken","Mon Jul 07 22:45:32 CEST 2025","","tests.ProfileTest","tests.ProfileTest","shouldReturnOwnProfile"
"","649","shouldReturnListOfProfiles()","","Mon Jul 07 18:53:36 CEST 2025","broken","Mon Jul 07 18:53:36 CEST 2025","","tests.GetAllProfilesTest","tests.GetAllProfilesTest","shouldReturnListOfProfiles"
"","238","shouldNotLoginWithInvalidPasswordFormat()","","Tue Jul 08 07:09:54 CEST 2025","failed","Tue Jul 08 07:09:55 CEST 2025","","tests.InvalidLoginTest","tests.InvalidLoginTest","shouldNotLoginWithInvalidPasswordFormat"
"Проверка, что Allure собирает тестовый результат","9","Allure базовая проверка","","Sun Jul 06 12:28:08 CEST 2025","passed","Sun Jul 06 12:28:08 CEST 2025","","tests.AllureIntegrationTest","tests.AllureIntegrationTest","simpleAllureTest"
"Проверка, что Allure записывает результат","2","Allure работает?","","Sun Jul 06 12:19:11 CEST 2025","passed","Sun Jul 06 12:19:11 CEST 2025","","tests.AllureTest","tests.AllureTest","checkAllureListener"
"Проверка успешного логина с валидными данными","1346","Успешный логин с email и паролем","","Tue Jul 08 12:00:02 CEST 2025","passed","Tue Jul 08 12:00:03 CEST 2025","","tests.SuccessfulLoginTest","tests.SuccessfulLoginTest","shouldLoginSuccessfully"
"Отправка валидных email и пароля. Проверка кода 200 и наличия поля 'token'","1069","Успешный логин возвращает токен","","Sun Jul 06 12:35:17 CEST 2025","passed","Sun Jul 06 12:35:18 CEST 2025","","tests.PositiveLoginTest","tests.PositiveLoginTest","loginShouldReturnAccessToken"
"","1146","shouldLoginSuccessfully()","","Mon Jul 07 01:30:44 CEST 2025","passed","Mon Jul 07 01:30:45 CEST 2025","","tests.PositiveLoginTest","tests.PositiveLoginTest","shouldLoginSuccessfully"
"","920","shouldNotLoginWithInvalidPassword()","","Mon Jul 07 01:37:52 CEST 2025","failed","Mon Jul 07 01:37:53 CEST 2025","","tests.InvalidLoginTest","tests.InvalidLoginTest","shouldNotLoginWithInvalidPassword"
"","968","shouldNotLoginWithInvalidPasswordFormat()","","Mon Jul 07 01:41:56 CEST 2025","failed","Mon Jul 07 01:41:57 CEST 2025","","InvalidLoginTest","InvalidLoginTest","shouldNotLoginWithInvalidPasswordFormat"
